mmsi_1,mmsi_2,timestamp,vessel_Proximity
218719092,232345740,2023-03-21 18:30:00+00:00,317.4610275876896
889799564,232006548,2023-03-15 05:30:00+00:00,10.819513691451094
889799564,875832716,2023-03-15 05:30:00+00:00,17.134829935118578
889799564,232345740,2023-03-15 05:30:00+00:00,7.508564270243405
889799564,218719092,2023-03-15 05:30:00+00:00,7.9612562402878035
875832716,232345740,2023-03-16 13:30:00+00:00,408.84379082514334
875832716,232006548,2023-03-16 13:30:00+00:00,156.07875015885296
875832716,889799564,2023-03-16 13:30:00+00:00,85.09023377315063
563014650,565761000,2023-03-08 19:30:00+00:00,397.72903431962544
563014650,564780000,2023-03-08 19:30:00+00:00,276.9150124659272
563014650,352002300,2023-03-12 22:30:00+00:00,45.401950954019476
564780000,563014650,2023-03-21 22:30:00+00:00,206.81390358844413
218719092,232345740,2023-03-22 03:30:00+00:00,489.56577975997027
563078430,352002300,2023-03-13 02:30:00+00:00,138.67311398891349
563078430,563014650,2023-03-13 02:30:00+00:00,143.21416786558402
232345740,875832716,2023-03-15 03:30:00+00:00,12.26586007863619
232345740,232006548,2023-03-15 03:30:00+00:00,2.481731597098593
232345740,218719092,2023-03-15 03:30:00+00:00,0.8984278674751226
232345740,889799564,2023-03-15 03:30:00+00:00,10.902531821819125
564780000,563014650,2023-03-17 18:30:00+00:00,338.90527717368275
564780000,563014650,2023-03-09 09:30:00+00:00,235.7932920460194
232006548,232345740,2023-03-17 23:30:00+00:00,491.2771728257163
563078430,352002300,2023-03-13 19:30:00+00:00,177.2094527062394
564780000,563014650,2023-03-08 22:30:00+00:00,239.16610943275654
564780000,565761000,2023-03-08 22:30:00+00:00,210.54650962474835
563014650,564780000,2023-03-23 18:30:00+00:00,237.51626031485213
563078430,352002300,2023-03-13 12:30:00+00:00,189.08046712861182
564780000,563014650,2023-03-09 01:30:00+00:00,238.2331515974408
889799564,232006548,2023-03-15 22:30:00+00:00,356.9902581925241
875832716,232345740,2023-03-17 03:30:00+00:00,362.44672881200137
875832716,232006548,2023-03-17 03:30:00+00:00,300.4921035280271
232006548,889799564,2023-03-15 05:30:00+00:00,10.819513691451094
232006548,875832716,2023-03-15 05:30:00+00:00,7.764948973757649
232006548,232345740,2023-03-15 05:30:00+00:00,4.930209671090863
232006548,218719092,2023-03-15 05:30:00+00:00,5.779494981526139
875832716,232006548,2023-03-22 23:30:00+00:00,251.66749920826865
232345740,232006548,2023-03-18 06:30:00+00:00,342.09629141265145
352002300,563078430,2023-03-13 15:30:00+00:00,260.5589310019566
875832716,232345740,2023-03-22 16:30:00+00:00,477.06172956432744
563014650,565761000,2023-03-13 10:30:00+00:00,453.02574629908344
232006548,875832716,2023-03-22 23:30:00+00:00,251.66749920826865
564780000,563014650,2023-03-23 00:30:00+00:00,250.91719497860703
875832716,232345740,2023-03-16 03:30:00+00:00,212.80039979218049
875832716,232345740,2023-03-15 00:30:00+00:00,24.7613485953035
875832716,232006548,2023-03-15 00:30:00+00:00,25.389551944315315
875832716,889799564,2023-03-15 00:30:00+00:00,88.73884699202553
875832716,218719092,2023-03-15 06:30:00+00:00,13.823715821317178
875832716,232345740,2023-03-15 06:30:00+00:00,12.855137822195847
875832716,889799564,2023-03-15 06:30:00+00:00,16.47289778844233
875832716,232006548,2023-03-15 06:30:00+00:00,6.564211615099615
232006548,232345740,2023-03-22 15:30:00+00:00,8.06980513545773
232006548,875832716,2023-03-21 14:30:00+00:00,396.13777421906747
232006548,232345740,2023-03-21 14:30:00+00:00,206.13808451220436
232006548,232345740,2023-03-18 08:30:00+00:00,230.82935233750771
889799564,875832716,2023-03-15 09:30:00+00:00,15.676817037999458
889799564,232345740,2023-03-15 09:30:00+00:00,2.2237204908555417
889799564,218719092,2023-03-15 09:30:00+00:00,1.655792430322459
889799564,232006548,2023-03-15 09:30:00+00:00,12.729287829311797
232345740,889799564,2023-03-14 22:30:00+00:00,377.2094830756378
232345740,875832716,2023-03-14 22:30:00+00:00,238.1625133781889
232345740,232006548,2023-03-14 22:30:00+00:00,52.26831719015103
232006548,232345740,2023-03-17 19:30:00+00:00,209.76902736524585
563014650,564780000,2023-03-05 13:30:00+00:00,413.8009533407971
563014650,564780000,2023-03-23 17:30:00+00:00,153.2650974618305
232345740,232006548,2023-03-17 01:30:00+00:00,190.25654564399704
232345740,875832716,2023-03-17 01:30:00+00:00,97.36412849513601
565761000,563014650,2023-03-08 19:30:00+00:00,397.72903431962544
565761000,564780000,2023-03-08 19:30:00+00:00,250.22133603562474
232006548,218719092,2023-03-22 19:30:00+00:00,119.68007327241872
563014650,564780000,2023-03-05 19:30:00+00:00,389.99069291526337
889799564,875832716,2023-03-15 01:30:00+00:00,21.982412540454295
889799564,232006548,2023-03-15 01:30:00+00:00,16.197349278478104
889799564,232345740,2023-03-15 01:30:00+00:00,14.348000028930453
889799564,218719092,2023-03-15 01:30:00+00:00,14.444664004402481
232006548,232345740,2023-03-17 20:30:00+00:00,280.02409596541094
564780000,563014650,2023-03-05 11:30:00+00:00,422.0953055540675
875832716,232345740,2023-03-17 16:30:00+00:00,74.4762192205836
875832716,232006548,2023-03-17 16:30:00+00:00,105.72586012899697
564780000,563014650,2023-03-23 03:30:00+00:00,243.77746892674415
232006548,889799564,2023-03-16 12:30:00+00:00,308.50692000055574
232006548,232345740,2023-03-16 12:30:00+00:00,429.37747056198225
232006548,875832716,2023-03-16 12:30:00+00:00,142.6800544638373
563014650,564780000,2023-03-09 06:30:00+00:00,236.69996794554834
352002300,564780000,2023-03-13 09:30:00+00:00,64.17515330580667
352002300,563014650,2023-03-13 01:12:24+00:00,38.89555398132864
889799564,875832716,2023-03-14 21:30:00+00:00,120.27858135081868
889799564,232006548,2023-03-14 21:30:00+00:00,344.04648249285225
889799564,232345740,2023-03-14 21:30:00+00:00,234.36975075796076
232006548,218719092,2023-03-22 18:30:00+00:00,178.32940341622879
563014650,564780000,2023-03-22 01:30:00+00:00,223.4155197259342
232345740,875832716,2023-03-17 13:30:00+00:00,7.18889334162411
232345740,232006548,2023-03-17 13:30:00+00:00,203.73336919757918
875832716,218719092,2023-03-22 13:30:00+00:00,158.5495643055
875832716,232345740,2023-03-22 13:30:00+00:00,492.09786890126895
875832716,232006548,2023-03-22 13:30:00+00:00,14.411377161801445
564780000,352002300,2023-03-13 08:30:00+00:00,56.435843139987924
564780000,563078430,2023-03-13 08:30:00+00:00,84.18858104647666
563014650,352002300,2023-03-13 02:30:00+00:00,37.39444461530658
563014650,563078430,2023-03-13 02:30:00+00:00,143.21416786558402
564780000,563014650,2023-03-08 18:30:00+00:00,295.19099482524626
564780000,565761000,2023-03-08 18:30:00+00:00,259.1901418768029
564780000,563014650,2023-03-09 00:30:00+00:00,238.54305869333163
352656000,538008064,2023-03-14 12:30:00+00:00,34.24442937618911
565761000,564780000,2023-03-08 17:30:00+00:00,268.231075556219
563014650,564780000,2023-03-23 13:30:00+00:00,317.27860806722924
